Fecha;Estación;Fósforo total (µg P/L);Nitrógeno total (mg N/L);Oxigeno disuelto (mg/L);Potencial de hidrogeno (pH) ;Temperatura (ºC);Ch-a um/L
27/05/2009;RN5F;75;0.71;8.26;6.22;16.36;0.3
16/09/2009;RN5F;110;0.62;8.36;7.4;15.5;0.6
03/06/2010;RN5F;75;0.64;8.35;7.2;15;7.8
05/08/2010;RN5F;80;0.66;10.94;8.2;9.3;1.3
02/12/2010;RN5F;67.3;0.96;7.62;7.3;22.9;11.1
31/03/2011;RN5F;58.3;0.33;7.97;7.22;20.5;30.8
26/05/2011;RN5F;70.6;0.65;8.43;7.62;16.2;0.3
19/01/2012;RN5F;120;0.96;6.93;8.53;25.7;2.2
21/03/2012;RN5F;114;0.48;7.55;7.13;24.8;1.6
15/08/2012;RN5F;73.6;0.63;9.34;7.53;13.9;179
06/12/2012;RN5F;124;0.63;8.18;7.84;25.8;3
21/02/2013;RN5F;78.7;0.47;6.54;7.47;23.3;5.5
05/07/2013;RN5F;123;2.6;10.31;7.64;12.6;1
05/02/2014;RN5F;121.5;0.7;7.77;8.28;25.7;0.6
22/05/2014;RN5F;120;0.7;9.41;7.57;16.3;
30/07/2014;RN5F;93.8;0.69;9.73;7.82;13.5;0.3
26/11/2014;RN5F;87.2;1;8.65;8.14;22.3;2.5
18/03/2015;RN5F;55;0.43;8;8.19;26.5;2.7
03/06/2015;RN5F;78;0.42;8.98;7.48;17.2;0.3
02/09/2015;RN5F;89;0.76;9.91;6.9;15.3;
02/12/2015;RN5F;80;0.74;8.34;7.44;23.1;0.4
24/02/2016;RN5F;100;0.5;7.07;8.16;28.8;6.5
25/05/2016;RN5F;85;0.68;10.15;7.08;13.7;0.1
21/09/2016;RN5F;53;0.66;10.27;6.88;15;1.5
30/11/2016;RN5F;67;0.7;8.6;7.04;20.8;
06/07/2017;RN5F;210;0.6;9.27;7.92;15.2;
04/10/2017;RN5F;67;0.69;8.87;6.06;17.4;
18/01/2018;RN5F;98;0.59;8.68;8.03;25.6;3.2
11/04/2018;RN5F;87;0.42;9.19;7.84;23.7;13
16/01/2019;RN5F;52;0.73;7.67;7.45;24.8;
20/03/2019;RN5F;50;0.9;8.45;7.61;23.2;
26/06/2019;RN5F;170;0.83;8.58;7.4;15.1;
09/10/2019;RN5F;71;0.72;8.75;7.13;17.6;
29/01/2020;RN5F;50;0.64;8.07;8.09;26.1;17
06/05/2020;RN5F;110;0.86;9.42;6.74;17.1;
30/09/2020;RN5F;110;0.99;9.74;7.16;16.4;
08/09/2021;RN5F;100;0.85;9.71;7.58;15.1;
01/12/2021;RN5F;99;0.74;8.16;7.84;22.6;
19/01/2022;RN5F;81;0.67;7.35;8;27.3;11
03/08/2022;RN5F;160;1.12;9.8;6.92;13.2;3.7
