Fecha;Estación;Fósforo total (µg P/L);Nitrógeno total (mg N/L);Oxigeno disuelto (mg/L);Potencial de hidrogeno (pH) ;Temperatura (ºC);Ch-a ug/L
2/6/2009;RN13F;100;1.01;8.32;7.2;15.1;0.15
22/9/2009;RN13F;151;0.82;9.15;7.56;15.4;0.2
9/6/2010;RN13F;68;0.8;9.48;7.43;15.1;3.8
12/8/2010;RN13F;95;0.78;9.68;7.62;10.6;
9/12/2010;RN13F;268;1.2;7.25;8.36;23.5;2.5
7/4/2011;RN13F;67.3;0.66;8.4;7.78;21.4;20.1
2/6/2011;RN13F;82.3;0.54;8;6.93;15.3;
26/1/2012;RN13F;370;1.01;6.37;7.68;25.5;3.8
28/3/2012;RN13F;108;0.5;7.06;7.23;22.4;
22/8/2012;RN13F;109;0.71;8.94;7.77;14.2;2.7
13/12/2012;RN13F;101;0.7;7.01;7.51;24.8;0.6
28/2/2013;RN13F;92.3;0.53;6.34;7.55;23.9;9.8
11/7/2013;RN13F;133;0.71;9.97;8.15;12.7;0.3
12/2/2014;RN13F;167;0.84;6.07;7.26;24.8;1.3
28/5/2014;RN13F;130;0.71;9.67;7.49;15.9;
20/8/2014;RN13F;106;0.73;9.15;7.61;15.2;0.1
3/12/2014;RN13F;125;0.96;7.93;7.58;22.3;0.3
25/3/2015;RN13F;111;0.41;7.58;6.66;21.5;1.9
10/6/2015;RN13F;75;0.37;9.56;7.29;17.6;0.5
9/9/2015;RN13F;100;0.78;8.57;8.16;15.8;0.3
10/12/2015;RN13F;110;0.76;8.14;7.63;23.9;1
2/3/2016;RN13F;150;0.52;7.42;7.56;25.7;
1/6/2016;RN13F;89;0.71;9.88;7.48;14.4;0.3
28/9/2016;RN13F;68;0.77;9.52;7.67;17.2;0.3
22/11/2016;RN13F;73;0.73;8.2;6.17;24.7;
11/7/2017;RN13F;96;0.98;10.07;7.86;14.1;
11/10/2017;RN13F;84;0.66;9.06;7.57;18.3;
24/1/2018;RN13F;140;0.78;8.19;7.63;26.2;4.5
17/4/2018;RN13F;90;0.41;8.28;7.12;22.8;
2/10/2018;RN13F;98;0.92;9.68;7.35;18.3;
22/1/2019;RN13F;130;0.82;6.14;7.43;26.2;4.6
27/3/2019;RN13F;81;0.72;8.15;7.57;22.9;3
2/7/2019;RN13F;210;0.77;8.58;7.08;14.3;
15/10/2019;RN13F;96;0.75;9.04;6.84;16.7;
4/2/2020;RN13F;61;0.66;7.71;8.15;27.4;6.2
12/5/2020;RN13F;120;0.48;9.51;7.61;17.3;
30/6/2020;RN13F;140;0.67;10.07;7.685;13.6;5
15/9/2021;RN13F;130;1.38;9.18;7.76;16;
7/12/2021;RN13F;120;0.76;8.42;8.03;21.7;
25/1/2022;RN13F;100;0.78;7.32;8.24;27.8;3.7
3/5/2022;RN13F;160;0.64;9.27;7.84;18.9;19
16/8/2022;RN13F;230;1.11;9.61;7.81;13.8;
